StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1_1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q15,Q16,Q20_1,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
2023-03-30 12:53:09,2023-03-30 12:56:12,IP Address,100,182,TRUE,2023-03-30 12:56:12,R_WiIVRNFNCIBMYKt,,,,,33.1371,-96.7488,anonymous,EN,1,60,16,Neutral,Neutral,Yes,Yes,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,All Programs,Neither agree nor disagree,Neither agree nor disagree,3,All,Yes,1,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,None caused stress,Neither agree nor disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 14:11:17,2023-03-30 14:15:06,IP Address,100,229,TRUE,2023-03-30 14:15:07,R_RaFHNQDolcT82eB,,,,,42.9767,-78.7959,anonymous,EN,0.8999999761581420,75,25,Less inclined to attend,Neutral,Yes,No,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,I did not send any thank you notes,Somewhat disagree,Somewhat agree,10,All,Yes,5,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Letters of intent/interest,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 18:01:34,2023-03-30 18:04:24,IP Address,100,170,TRUE,2023-03-30 18:04:24,R_2c7pVR2BIBFcubC,,,,,35.6837,139.6805,anonymous,EN,0.800000011920929,77,18,More inclined to attend,More inclined,Yes,Yes,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,I did not send any thank you notes,Neither agree nor disagree,Strongly agree,3,Most,Yes,2,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 20:14:36,2023-03-23 20:15:45,IP Address,13,69,FALSE,2023-03-30 20:15:47,R_1F5Gtyc7ptXyga5,,,,,,,anonymous,EN,1,62,17,More inclined to attend,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:28:33,2023-03-31 09:31:03,IP Address,100,150,TRUE,2023-03-31 09:31:04,R_TvkZjn8MTkClt8B,,,,,40.4295,-80.0152,anonymous,EN,0.8999999761581420,70,30,Neutral,Neutral,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,All Programs,Strongly agree,Somewhat agree,25,Most,Yes,26,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Letters of intent/interest,Neither agree nor disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 10:53:27,2023-03-24 10:55:40,IP Address,47,132,FALSE,2023-03-31 10:55:43,R_3nMZNjZroQecaYw,,,,,,,anonymous,EN,1,100,17,Neutral,Neutral,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,All Programs,Strongly agree,Neither agree nor disagree,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 14:28:11,2023-03-31 14:38:09,IP Address,100,598,TRUE,2023-03-31 14:38:10,R_2QXQSj801LEI6qG,,,,,40.5928,-76.1373,anonymous,EN,1,100,16,More inclined to attend,Less inclined,Yes,No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Programs that I liked,Strongly agree,Strongly agree,4,All,Yes,4,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat Agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Thank you notes,Somewhat disagree,Thank you letters felt disingenuous after a 20 minute meeting. Sending a letter to your top program explaining why you were ranking them first felt more genuine.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 15:30:39,2023-03-31 15:32:52,IP Address,100,133,TRUE,2023-03-31 15:32:53,R_XNubdhUL2eefBSN,,,,,42.2314,-83.6344,anonymous,EN,1,100,10,Neutral,Neutral,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,All Programs,Strongly agree,Neither agree nor disagree,4,All,Yes,3,Strongly disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Thank you notes,Neither agree nor disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 16:03:24,2023-03-31 16:08:51,IP Address,100,327,TRUE,2023-03-31 16:08:51,R_2UhpjoXvwDImkFV,,,,,29.7373,-95.3972,anonymous,EN,1,50,30,More inclined to attend,More inclined,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I did not send any thank you notes,Neither agree nor disagree,Somewhat agree,15,Most,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Second looks,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 11:57:12,2023-04-04 12:15:00,IP Address,100,1067,TRUE,2023-04-04 12:15:01,R_3eq75g3zhk9B5kU,,,,,32.5109,-84.9794,anonymous,EN,1,80,20,More inclined to attend,More inclined,Yes,No,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,I did not send any thank you notes,Somewhat agree,Somewhat agree,5,Most,No,3,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Second looks,Somewhat agree,"Thank you, UAB interview day was excellent and I respected their policy on 2nd looks"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-05 09:25:49,2023-04-05 09:31:45,IP Address,100,356,TRUE,2023-04-05 09:31:46,R_4TLVY9QTZ8deHbb,,,,,40.0923,-74.2252,anonymous,EN,1,76,19,More inclined to attend,More inclined,Yes,Yes,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,All Programs,Somewhat agree,Neither agree nor disagree,15,Most,Yes,11,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Letters of intent/interest,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-05 09:55:48,2023-04-05 09:58:46,IP Address,100,178,TRUE,2023-04-05 09:58:47,R_7ar6dX8pQb7Pyx3,,,,,38.894,-77.0365,anonymous,EN,1,64,11,Neutral,More inclined,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Programs that I liked,Neither agree nor disagree,Strongly disagree,10,All,Yes,5,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Letters of intent/interest,Neither agree nor disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 06:04:20,2023-04-06 06:08:32,IP Address,100,252,TRUE,2023-04-06 06:08:32,R_PuJ1usm4NmJwFzj,,,,,40.2744,-76.7062,anonymous,EN,1,100,28,Neutral,More inclined,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Programs that I liked,Somewhat agree,Somewhat agree,8,Most,Yes,6,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03 07:32:28,2023-04-03 07:34:12,IP Address,97,103,FALSE,2023-04-10 07:34:16,R_Zfdkyh7hGJDgGDn,,,,,,,anonymous,EN,0.8999999761581420,30,80,,,Yes,Yes,,,,,,,,30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 11:20:37,2023-04-10 11:24:29,IP Address,100,231,TRUE,2023-04-10 11:24:30,R_2vZE3xh5MEfA2oM,,,,,39.0679,-94.713,anonymous,EN,1,75,2,Neutral,Neutral,No,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,All Programs,Somewhat agree,Neither agree nor disagree,1,All,Yes,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Second looks,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 12:55:24,2023-04-10 12:57:37,IP Address,100,132,TRUE,2023-04-10 12:57:37,R_AFdweZKnf9twJfX,,,,,34.8295,-82.5812,anonymous,EN,1,80,28,More inclined to attend,Neutral,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Programs that I liked,Neither agree nor disagree,Strongly agree,7,All,Yes,1,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 13:06:16,2023-04-10 13:37:43,IP Address,100,1886,TRUE,2023-04-10 13:37:44,R_26aSW04bLF8i6eU,,,,,42.9526,-78.895,anonymous,EN,,100,10,Neutral,More inclined,No,No,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Programs that I liked,Strongly disagree,Strongly disagree,3,All,Yes,3,Strongly disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Letters of intent/interest,Neither agree nor disagree,"This survey is quite enlightening as I wasn't educated about letters of intent during the match process. Some education about the principles that guide the use of letter of intent and how it influences the match process may be helpful for future applicants. Otherwise, thank you for taking the time to create this survey."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 13:55:59,2023-04-10 13:56:51,IP Address,100,52,TRUE,2023-04-10 13:56:52,R_2zU8BwaZgLah19A,,,,,39.9195,-75.1565,anonymous,EN,0.800000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 13:53:12,2023-04-10 13:58:02,IP Address,100,290,TRUE,2023-04-10 13:58:03,R_3qqctKTlOb81Wgd,,,,,37.5503,-77.3942,anonymous,EN,1,4,4,More inclined to attend,More inclined,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,All Programs,Somewhat agree,Neither agree nor disagree,0,None,No,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Thank you notes,Strongly disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 13:54:39,2023-04-10 14:03:38,IP Address,100,538,TRUE,2023-04-10 14:03:39,R_1DSGomdUc06bdkj,,,,,27.8171,-82.6268,anonymous,EN,1,75,16,Neutral,Neutral,Yes,Yes,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,All Programs,Somewhat agree,Neither agree nor disagree,7,Most,Yes,5,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,None caused stress,Neither agree nor disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 14:03:15,2023-04-10 14:09:23,IP Address,100,368,TRUE,2023-04-10 14:09:24,R_vCVc5RG2czfanER,,,,,38.662,-90.2889,anonymous,EN,1,67,26,Neutral,Neutral,Yes,Yes,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,All Programs,Somewhat agree,Strongly agree,7,Most,Yes,7,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 15:26:21,2023-04-10 15:28:41,IP Address,100,139,TRUE,2023-04-10 15:28:41,R_216ySS1gpbKE0RI,,,,,38.894,-77.0365,anonymous,EN,0.8999999761581420,100,7,Neutral,Neutral,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,All Programs,Strongly disagree,Neither agree nor disagree,3,All,Yes,4,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 16:05:13,2023-04-10 16:09:10,IP Address,100,236,TRUE,2023-04-10 16:09:10,R_3en8dgQ6yAFJLhk,,,,,35.2227,-80.7938,anonymous,EN,0.8999999761581420,45,19,More inclined to attend,Neutral,Yes,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Programs that I liked,Somewhat disagree,Strongly disagree,8,Most,Yes,6,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,None caused stress,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 16:14:07,2023-04-10 16:18:15,IP Address,100,248,TRUE,2023-04-10 16:18:15,R_3knAimOXJBrtJEl,,,,,44.0794,-93.2188,anonymous,EN,0.8999999761581420,81,37,More inclined to attend,More inclined,Yes,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,I did not send any thank you notes,Somewhat disagree,Somewhat agree,18,Half,Yes,10,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 18:45:14,2023-04-10 18:57:04,IP Address,100,710,TRUE,2023-04-10 18:57:04,R_27Hw2OIIDkQBaG7,,,,,39.1638,-84.4517,anonymous,EN,1,92,29,Neutral,Neutral,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,All Programs,Somewhat agree,Somewhat agree,10,Most,Yes,8,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-11 02:40:21,2023-04-11 02:46:25,IP Address,100,364,TRUE,2023-04-11 02:46:26,R_3k6XinKhiw7kJY2,,,,,38.894,-77.0365,anonymous,EN,0.8999999761581420,51,14,More inclined to attend,More inclined,Yes,Yes,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Programs that I liked,Strongly disagree,Somewhat disagree,10,All,Yes,3,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Letters of intent/interest,Strongly disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 08:16:56,2023-04-04 08:18:37,IP Address,47,100,FALSE,2023-04-11 08:20:41,R_2aWsOru7pwM811z,,,,,,,anonymous,EN,1,100,8,Neutral,Neutral,No,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,I did not send any thank you notes,Somewhat disagree,Strongly disagree,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-11 11:52:11,2023-04-11 11:56:02,IP Address,100,230,TRUE,2023-04-11 11:56:02,R_vUn3sWaRRNIWlYl,,,,,41.5066,-81.6111,anonymous,EN,0.8999999761581420,100,25,Neutral,Neutral,No,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,I did not send any thank you notes,Neither agree nor disagree,Neither agree nor disagree,10,Most,Yes,2,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-11 12:55:28,2023-04-11 12:58:22,IP Address,100,173,TRUE,2023-04-11 12:58:23,R_3DjTCycK9hQfiFG,,,,,40.4442,-79.9557,anonymous,EN,1,94,7,Neutral,Neutral,Yes,No,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,All Programs,Somewhat agree,Strongly disagree,1,All,Yes,1,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,None caused stress,Strongly disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-14 13:10:55,2023-04-14 13:15:02,IP Address,100,247,TRUE,2023-04-14 13:15:02,R_3QEHkYZoclkw8kr,,,,,40.0321,-82.9092,anonymous,EN,1,90,30,Less inclined to attend,More inclined,Yes,No,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Programs that I liked,Somewhat disagree,Neither agree nor disagree,20,Most,Yes,15,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Letters of intent/interest,Strongly disagree,"Most stressful part of post interview communication in my opinion was rank to match calls and/or “highly interested” calls. Was hard to know how to navigate those phone calls. Would have appreciated a more formal process from programs to express interest, maybe by email and not cold call"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10 12:54:43,2023-04-10 12:55:08,IP Address,13,25,FALSE,2023-04-17 12:55:12,R_2DSQDawmHtmbYP7,,,,,,,anonymous,EN,1,76,30,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25 10:21:54,2023-04-25 10:25:34,IP Address,100,220,TRUE,2023-04-25 10:25:35,R_1H7tnp1WDkVzNzN,,,,,40.867,14.2385,anonymous,EN,0.8999999761581420,92,15,More inclined to attend,More inclined,Yes,No,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,I did not send any thank you notes,Strongly agree,Strongly agree,7,Most,Yes,2,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Second looks,Strongly agree,
